_id,year,county_id,county_name,type,nj_data_source,killed_total,killed_per_100milvmt,killed_per_capita,si_total,si_per_100milvmt,si_per_capita,ksi_total,ksi_per_100milvmt,ksi_per_capita,ksi_total_5yravg
"231","2014","42045","Delaware","Non-Motorized","N/A","8","0.2","1.4","15","0.5","2.7","23","0.7","4.1","null"
"232","2014","34015","Gloucester","All","Official","30","1","10.3","74","2.6","25.4","104","3.6","35.7","106.8"
"233","2014","34015","Gloucester","Motorized","Official","23","0.8","7.9","71","2.5","24.4","94","3.3","32.3","null"
"234","2014","34015","Gloucester","Non-Motorized","Official","7","0.2","2.4","3","0.1","1","10","0.3","3.4","null"
"235","2014","34021","Mercer","All","Official","24","0.6","6.5","36","0.9","9.7","60","1.5","16.2","75.4"
"236","2014","34021","Mercer","Motorized","Official","16","0.4","4.3","27","0.7","7.3","43","1.1","11.6","null"
"237","2014","34021","Mercer","Non-Motorized","Official","8","0.2","2.2","9","0.2","2.4","17","0.4","4.6","null"
"238","2014","42091","Montgomery","All","N/A","38","0.6","4.6","123","1.9","15.1","161","2.5","19.7","187.2"
"239","2014","42091","Montgomery","Motorized","N/A","33","0.5","4","100","1.5","12.3","133","2","16.3","null"
"240","2014","42091","Montgomery","Non-Motorized","N/A","5","0.1","0.6","23","0.4","2.8","28","0.5","3.4","null"
"241","2014","42101","Philadelphia","All","N/A","97","1.7","6.2","257","4.6","16.4","354","6.3","22.6","364"
"242","2014","42101","Philadelphia","Motorized","N/A","56","1","3.6","189","3.4","12.1","245","4.4","15.7","null"
